Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types
Drawnel, F. M. et al. Disease modeling and phenotypic drug screening for diabetic cardiomyopathy using human induced pluripotent stem cells. Cell Rep, 9, (2014).	2014.0	Selected	CDI-MRB	1									Flow cytometry for cTnT+	90	Yes	L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid								Fibronectin-coated plastic/glass		
Bedada, F. B. et al. Acquisition of a quantitative, stoichiometrically conserved ratiometric marker of maturation status in stem cell-derived cardiac myocytes. Stem Cell Reports, 3, (2014).	2014.0	Selected	DF 19-9-11, IPLZ3.13, IBO5.57, hc, 13FLVN0C1	5		Activin A, BMP4, bFGF, CHIR-99021	0-2, 0-3	IWP4,  IWR2	3-5, 3-7	5, 7					Yes	T3								Matrigel-coated plastic, poly-D-lysine or poly-Dlysine plus cardiac-matrix coated glass		
Lian, X. et al. Robust cardiomyocyte differentiation from human pluripotent stem cells via temporal modulation of canonical Wnt signaling. Proceedings of the National Academy of Sciences, 109, (2012).	2012.0	Selected	IMR90C4	1		Activin A, BMP4	day -3 to 0	IWP4,  IWR2	3-5	1			Flow cytometry for cTnT+	87, 82										Matrigel-coated or  Synthemax-coated plastic		
Lee, D.S. et al. Defined microRNAs induce aspects of maturation in mouse and human embryonic-stem-cell-derived cardiomyocytes. Cell Rep, 12, (2015).	2015.0	Selected				CHIR99021		XAV939																		
Dai, D.F. et al. Mitochondrial maturation in human pluripotent stem cell derived cardiomyocytes. Stem Cells International, (2017).	2017.0	Selected	IMR90	1		Activin A, BMP4								90	Yes	L-glutamine								Matrigel-coated plastic, PEI-gelatin coated plastic		
Lopez, C.A. et al. Physiological and pharmacological stimulation for in vitro maturation of substrate metabolism in human induced pluripotent stem cell-derived cardiomyocytes. Scientific Reports, 11, (2021).	2021.0	Selected	OX1-19	1		Activin A, CHIR-99021		IWP4, Wnt-C59		7														Matrigel-coated plastic	Collagen, Collagen+C4S, Collagen+elastin	
Sarikhani, M. et al. Sustained activation of AMPK enhances differentiation of human iPSC-derived cardiomyocytes via sirtuin activation. Stem Cell Reports, 15, (2020).	2020.0	Selected	BJ RiPS-A, UCSD142i-86-1	2	80	CHIR99021		IWP4		7			Flow cytometry for TNNT2+	70												
Hidalgo, A. et al. Modelling ischemia-reperfusion injury (IRI) in vitro using metabolically matured induced pluripotent stem cell-derived cardiomyocytes. APL bioengineering, 2, (2018).	2018.0	Selected	C32	1	100	CHIR99021		IWP4		3					Yes	Galactose, palmitic acid,  oleic acid								Â Matrigel-coated plastic		
Yang, X. et al. Tri-iodo-l-thyronine promotes the maturation of human cardiomyocytes-derived from induced pluripotent stem cells. Journal of Molecular and Cellular Cardiology, 72, (2014).	2014.0	Selected	IMR90	1		Activin A, BMP4,  CHIR 99021		XAV939					Flow cytometry for cTnT+	80	Yes	T3										
Funakoshi, S. et al. Generation of mature compact ventricular cardiomyocytes from human pluripotent stem cells. Nature Communications, 12, (2021).	2021.0	Selected	HES2, ESI-17	2		Activin A, BMP4, bFGF		IWP2		10					Yes	Palmitic acid, Dexamethazone, T3 hormone, GW7647 										
Bekhite, M. et al. The role of ceramide accumulation in human induced pluripotent stem cell-derived cardiomyocytes on mitochondrial oxidative stress and mitophagy. Free Radical Biology and Medicine, 167, (2021).	2021.0	Selected																								
Geraets, I.M. et al. Human embryonic stem cell-derived cardiomyocytes as an in vitro model to study cardiac insulin resistance. Biochimica et Biophysica Acta (BBA)-Molecular Basis of Disease, 1864, (2018).	2018.0	Selected																								
GranÃ©li, C. et al. Diabetic cardiomyopathy modelling using induced pluripotent stem cell derived cardiomyocytes: recent advances and emerging models. Stem Cell Reviews and Reports, 15, (2019).	2019.0	Selected													Yes	L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid										
Purnama, U. et al. Modelling diabetic cardiomyopathy: using human stem cell-derived cardiomyocytes to complement animal models. Metabolites, 12, (2022).	2022.0	Selected																								
Miki, K. et al. ERR? enhances cardiac maturation with T-tubule formation in human iPSC-derived cardiomyocytes. Nat Commun 12, (2021).	2021.0	Selected	1390D4, 1390C1, 409B2	3	EB	Activin A, BMP4, bFGF	0-2	IWP3 - also SB431542, VEGF	2-5				Flow cytometry for cTnT+	99	Signal perturbation	ERR? agonist GSK4716, S-phase kinase-associated protein 2 inhibitor								ECM-coated plastic/glass		
Wickramasinghe, N. M. et al. PPARdelta activation induces metabolic and contractile maturation of human pluripotent stem cell-derived cardiomyocytes. Cell Stem Cell 29, 559-576.e7 (2022).	2022.0	Selected	ISMMSi005-B, WTC11	2	EBs	Activin A, BMP4, bFGF	0-2	XAV939	2-4		No glucose with lactate	24-28	Flow cytometry for SIRPA		Signal perturbation	LCFAs, T3, GW6471, GSK0660, GW9662		Yes							Fibrin	CM
Birket, M. J. et al. A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology. Stem Cell Reports 13, 380Â393 (2019).	2019.0	Randomized	in-house (4)	4		CHIR99021, BMP4	0-2	Wnt-C59, bFGF	2-4	2	Cell sorting		Flow cytometry for SIRPA+	96	Yes	T3, dexamethasone, palmitic acid								ECM-coated plastic/glass		
Correia, C. et al. Distinct carbon sources affect structural and functional maturation of cardiomyocytes derived from human pluripotent stem cells. Sci Rep 7, (2017).	2017.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-6	1	No glucose with lactate	15-35	Flow cytometry for cTnT+	80	Yes	Glutamine, oleic acid, palmitic acid, galactose								ECM-coated plastic/glass		
Feyen, D. A. M. et al. Metabolic Maturation Media Improve Physiological Function of Human iPSC-Derived Cardiomyocytes. Cell Rep 32, (2020).	2020.0	Top 100	SCVI-273, SCVI-15S1, SCVI-113	3	100	CHIR99021	0-3	Wnt-C59	3-5	11	No glucose with lactate	13-16	Flow cytometry for cTnT+	95	Yes	L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR		Yes						ECM-coated plastic/glass	Fibrin	CM
Garbern, J. C. et al. Inhibition of mTOR Signaling Enhances Maturation of Cardiomyocytes Derived from Human-Induced Pluripotent Stem Cells via p53-Induced Quiescence. Circulation 285Â300 (2020) 	2020.0	Selected	BJ RiPS-A, UCSD142i-86-1PS, Gibco episomal	3	75	CHIR99021	0-2	IWP4	2-4	7			Flow cytometry for cTnT+	70	Yes	Torin1					Yes	Yes		Micropatterned gelatin		
Horikoshi, Y. et al. Fatty acid-treated induced pluripotent stem cell-derived human cardiomyocytes exhibit adult cardiomyocyte-like energy metabolism phenotypes. Cells 8, (2019).	2019.0	Top 100	1013, H3083	2		CHIR99021	0-2	IWP4	3-5	5	No glucose with lactate	20-27	Flow cytometry for cTnT+	98	Yes	L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid								ECM-coated plastic/glass		
Hu, D. et al. Metabolic maturation of human pluripotent stem cellderived cardiomyocytes by inhibition of HIF1? and LDHA. Circ Res 123, 1066Â1079 (2018).	2018.0	Top 100	BJ RiPS-D	1	95	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-16	Flow cytometry for cTnT+	90	Yes	Palmitic acid, oleic acid, HIF1? inhibitior chetomin, a selective and potent LDHA inhibitor GSK 2837808A								ECM-coated plastic/glass		
Huang, C. Y. et al. Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment. J Mol Cell Cardiol 138, 1Â11 (2020).	2020.0	Randomized	in-house	1	85	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	92	Yes	Thyroid hormone T3, dexamethasone, IGF-1		Yes	Yes					ECM-coated plastic/glass	Collagen + fibrin	CM + EC + SC
Huebsch, N. et al. Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips. Nat Biomed Eng 6, 372Â388 (2022).	2022.0	Randomized	WTC11, SCVI-20, SCVI-273, G15.AO	4	90	CHIR99021	0-1	IWP2	2-4	6	No glucose with lactate	16-18	Flow cytometry for cTnT+	98	Yes	Oleic acid, palmitic acidÂ 		Yes	Yes			Yes			Scaffold free	CM + SC
Knight, W. E. et al. Maturation of Pluripotent Stem Cell-Derived Cardiomyocytes Enables Modeling of Human Hypertrophic Cardiomyopathy. Stem Cell Reports 16, 519Â533 (2021).	2021.0	Selected	CUSO-1, CUSO-2	2		CHIR99021	0-1	IWP2	3-5	7, not 20-25	No glucose with lactate	20-25			Yes	Palmitic acid, oleic acid, galactose					Yes			Micropatterned plastic/glass		
Lin, B. et al. Culture in glucose-depleted medium supplemented with fatty acid and 3,3Â,5-Triiodo-L-thyronine facilitates purification and maturation of human pluripotent stem cell-derived cardiomyocytes. Front Endocrinol (Lausanne) 8, (2017).	2017.0	Selected	BJ1, NCRM-1	2	85	CHIR99021	0-1	IWP2	3-5		No glucose with lactate	13-21	Flow cytometry for cTnT+	95	Yes	1Ã Linoleic Acid-Oleic Acid-Albumin, T3, lactate								ECM-coated plastic/glass		
Lin, B. et al. Culture in glucose-depleted medium supplemented with fatty acid and 3,3Â,5-Triiodo-L-thyronine facilitates purification and maturation of human pluripotent stem cell-derived cardiomyocytes. Front Endocrinol (Lausanne) 8, (2017).	2017.0	Selected	NCRM-1, BJ1	2		CHIR99021	0-1	IWP2	4-6		No glucose with lactate, fatty acid + T3	12-21	Flow cytometry for cTnT+	95	Yes	1Ã Linoleic Acid-Oleic Acid-Albumin, T3, lactate								ECM-coated plastic/glass		
Mills, R. J. et al. Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest. Proc Natl Acad Sci U S A 114, E8372ÂE8381 (2017).	2017.0	Selected	ATCC-BXS0116	1		Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	3-6	6			Flow cytometry for cTnT+, a-actinin	70	Yes	Palmitic acid, TGF?-1		Yes	Yes (not pure)						Collagen + matrigel	CM + SC
Parikh, S. S. et al. Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Circ Res 121, 1323Â1330 (2017).	2017.0	Top 100	in-house	2	75	CHIR99021	0-2	IWR1	3-5	16	No glucose	10-16			Yes	T3 (triiodothyronine), Dex (dexamethasone)						Yes		Thick matrigel		
Peters, M. C. et al. Follistatin-like 1 promotes proliferation of matured human hypoxic iPSC-cardiomyocytes and is secreted by cardiac fibroblasts. Mol Ther Methods Clin Dev 25, 3Â16 (2022).	2022.0	Selected	SCVI-273, UKKi032-C	2	95	CHIR99021	0-3	Wnt-C59	3-7	7	No glucose	9-16	Flow cytometry for ACTN1+		Yes	L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR			Yes					Micropatterned plastic/glass		
Peters, M. C. et al. Metabolic Maturation Increases Susceptibility to Hypoxia-induced Damage in Human iPSC-derived Cardiomyocytes. Stem Cells Transl Med 11, 1040Â1051 (2022).	2022.0	Selected	SCVI-273, UKKi032-C	2	85	CHIR99021	0-3	Wnt-C59	3-7	7	No glucose	9-16	Flow cytometry for cTnT+; Flow cytometry for ACTN1+	94	Yes	L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR								ECM-coated plastic/glass		
Schwan, J. et al. Anisotropic engineered heart tissue made from laser-cut decellularized myocardium. Sci Rep 6, (2016).	2016.0	Top 100	in-house	1	90	CHIR99021	0-1	IWP4	3-5						Yes	IGF-1, dexamethasone, T3		Yes			Yes		Yes		Decellularized tissue	CM
SebastiÃ£o, M. J. et al. Bioreactor-based 3D human myocardial ischemia/reperfusion in vitro model: a novel tool to unveil key paracrine factors upon acute myocardial infarction. Translational Research 215, 57Â74 (2020).	2020.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-7	7			Flow cytometry for cTnT+	90	Yes	T3									Scaffold free	CM
Tsan, Y. C. et al. Physiologic biomechanics enhance reproducible contractile development in a stem cell derived cardiac muscle platform. Nat Commun 12, (2021).	2021.0	Selected	MR18, MR30, MR48, WTC11, DF19-9-11T.H	5		CHIR99021	0-1	IWP4	3-10	6, not 12-16	No glucose with lactate	12-16	IHC a-actinin	95	Yes	T3, dexamethasone, Torin1					Yes	Yes		Micropatterned PDMS		
Yang, X. et al. Fatty Acids Enhance the Maturation of Cardiomyocytes Derived from Human Pluripotent Stem Cells. Stem Cell Reports 13, 657Â668 (2019).	2019.0	Top 100	IMR-90, WTC11	2		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7			Flow cytometry for cTnT+	80	Yes	"Oleic acid-albumin and linoleic
acid-albumin, Palmitate"						Yes		ECM-coated plastic/glass; micropost array		
Abecasis, B. et al. Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model. Biotechnol Bioeng 116, 1245Â1252 (2019).	2019.0	Randomized	DF19-9-11T.H	1	90	CHIR99021	0-1	IWR1	3-6	7			Flow cytometry for cTnT+	97					Yes					ECM-coated plastic/glass		
Abilez, O. J. et al. Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling. Stem Cells 36, 265Â277 (2018).	2017.0	Top 100	IMR-90	1	80	CHIR99021	0-2	IWR1	3-5	7			Flow cytometry for cTnT+	88				Yes	Yes						Collagen + matrigel	CM + SC
Abulaiti, M. et al. Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function. Sci Rep 10, (2020).	2020.0	Selected	253G1, FF101-s04	2	100	Activin A, BMP4, CHIR99021, bFGF	0-5	XAV939, IWP4	5-7				Flow cytometry for cTnT+	37					Yes (not pure)	Flow					Scaffold free	CM + EC + SC
Acun, A., Nguyen, T. D. & Zorlutuna, P. In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction. Acta Biomater 94, 372Â391 (2019).	2019.0	Randomized	HVRDi007-A, Huv-iPS4F1	2		CHIR99021	0-1	IWP4	3-5	8			Flow cytometry for cTnT+	93										ECM-coated plastic/glass	GelMA, PEG, PEG/GelMA	CM
Afzal, J. et al. Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes. Cell Rep 40, (2022).	2022.0	Selected	WTC11, HF-YK27, PBY4-48D	3	82.5	CHIR99021	0-2	IWR	4-5	10	No glucose with lactate	10-12	Flow cytometry for cTnT+	95							Yes	Yes		Nanotopography		
Ahrens, J. H. et al. Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks. Advanced Materials 34, (2022).	2022.0	Selected	BJFF	1	EB	CHIR99021	0-2	IWR1	3-5	7	No glucose with lactate	9-11	Flow cytometry for cTnT+	73				Yes	Yes						Collagen + fibrin + gelatin	CM + SC
Almeida, H. V. et al. Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation. ACS Appl Bio Mater 4, 1888Â1899 (2021).	2021.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-6	8			Flow cytometry for SIRPA+; Flow cytometry for cTnT+; Flow cytometry for VCAM-1+	80									Yes	ECM-coated plastic/glass	Scaffold free	CM
Alvarez-Paino, M. et al. Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function. ACS Appl Mater Interfaces 11, 34560Â34574 (2019).	2019.0	Randomized	REB	1		Activin A, BMP4	0-2	KY02111, XAV939	2-6	6														CM-aggregates seeded on PLA-based microparticles		CM
Amano, Y. et al. Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays. Acta Biomater 33, 110Â121 (2016).	2016.0	Top 100	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	53					Yes						Gelatin 	CM + EC + SC
Aoyama, J. et al. Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells. Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020).	2020.0	Randomized	454E2	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5															ECM-coated plastic/glass		
Arai, K. et al. Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer. PLoS One 13, (2018).	2018.0	Top 100	iCell	1															Yes						Scaffold free, 3D bioprinted to assemble cardiac spheroids	CM + EC + SC
