3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
					Yes	TEM	Yes	1.015	700		Impedance monitoring				Calcium 5 kit						Patch clamp	14.0				Gene expression	PCR, RNA-seq	
					Yes		Yes				Gene expression																PCR	Thyroid hormone (T3)
					Yes	TEM	Yes																					
					Yes				3000												Patch clamp		125					
					Yes	TEM	Yes		2400																	Mitochondria staining, mitochondrial respiratory complex activity		
					Yes	SEM																				Clark-type oxygen electrode, MitoTracker staining	PCR	
																										Seahorse, metabolic assays	PCR, ATAC-Seq	AICAR, compound C, nicotinamide (NAM), trichostatin A (TSA)
																					Patch clamping					Gene expression	PCR	
								1.73	1000			10				0.2										Seahorse		Hormone stimulation, T3
						TEM	Yes	2.1							Â Fluo-4Â 	0.06										Seahorse	RNA-seq, PCR	Â T3 hormone, GW7647Â 
																												
																												
																												
																												
					Yes	TEM	Yes	2.1		Yes	Motion tracking analysis			33							Patch clamp	41.0	122	-67.0		Seahorse	RNA-seq, PCR	
		100, 0, 0	6.45		Yes	TEM	Yes	1.6			Post deflection				Dye						MEA; Optical mapping	10.0				Seahorse; metabolic flux	RNA-seq, PCR	
					Yes				1800						Dye						Patch clamp	16.0	100	-70.0			Proteomics	caffeine
					Yes	TEM	Yes				Motion tracking analysis		0.5	70	Dye	4.0		99								Seahorse	Microarray	
		100, 0, 0	10.0	6	Yes	EM		1.9			TFM				Dye						Patch clamp; optical mapping		110	-80.0		Seahorse	RNA-seq, PCR	isoproterenol, tetrodotoxin
					Yes			1.7			Motion tracking analysis				Dye		35.0	190			Optical mapping					Seahorse	PCR	isoproterenol
					Yes				6000																	Seahorse	PCR	
					Yes	TEM		2.1			Motion tracking analysis	0.0003		200	Dye	8.0					Patch clamp		114	-74.0		Seahorse	PCR	
