Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
Our new columns	Abecasis, B. et al. Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model. Biotechnol Bioeng 116, 1245–1252 (2019).	2019.0	 Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model	 Biotechnol Bioeng 116, 1245–1252 (2019)	https://doi.org/10.1002/bit.26929		DF19-9-11T.H	1	Male		Matrigel	mTeSR-1	90	RPMI-1640	B27	CHIR99021	0-1	IWR1	3-6	7			Flow cytometry for cTnT+	97							Yes					ECM-coated plastic/glass						RPMI-1640, B27 and EGM2 without supplements			Yes		Yes	1.8							Dye	1.5		270												
Manipulated data not in previous dataset	Abilez, O. J. et al. Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling. Stem Cells 36, 265–277 (2018).	2018.0	 Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling	 Stem Cells 36, 265–277 (2018)	https://doi.org/10.1002/stem.2732		IMR-90	1	Female		Matrigel	E8	80	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	7			Flow cytometry for cTnT+	88		Matrigel 				Yes	Yes						Collagen + matrigel	CM + SC	hLF		75, 0, 25		16.0	14	Yes						Force transducer 	0.5			Dye	0.9	50.0	500										PCR		
Nick's new studies vs 300 studies	Abulaiti, M. et al. Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function. Sci Rep 10, (2020).	2020.0	 Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-020-76062-w		253G1, FF101-s04	2	NaN, NaN	NaN, NaN	Matrigel	StemFit AK02N	100	RPMI-1640	B27, VEGF	Activin A, BMP4, CHIR99021, bFGF	0-5	XAV939, IWP4	5-7				Flow cytometry for cTnT+	37		Matrigel					Yes (not pure)	Flow					Scaffold free	CM + EC + SC	vascular mural cell	vascular endothelial cell	37, 15, 20	α-MEM, FBS, β-mercaptoethanol, VEGF			Yes						Motion tracking analysis				Genetically encoded sensor 		101.0												isoproterenol	
Nick's new studies missing from 314 dataset	Acun, A., Nguyen, T. D. & Zorlutuna, P. In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction. Acta Biomater 94, 372–391 (2019).	2019.0	 In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction	 Acta Biomater 94, 372–391 (2019)	https://doi.org/10.1016/j.actbio.2019.05.064		HVRDi007-A, Huv-iPS4F1	2	Male, NaN	NaN, NaN	Geltrex	mTeSR-1		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	8			Flow cytometry for cTnT+	93												ECM-coated plastic/glass	GelMA, PEG, PEG/GelMA	CM				RPMI-1640, B27			Yes			1.8	3116		Nanoindenter	0.471		18	Dye													PCR	isoproterenol	
Unchanged	Afzal, J. et al. Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes. Cell Rep 40, (2022).	2022.0	 Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes	 Cell Rep 40, (2022)	https://doi.org/10.1016/j.celrep.2022.111146		WTC11, HF-YK27, PBY4-48D	3	Male, NaN, NaN	Asian, NaN, NaN	Geltrex	E8	82.5	RPMI-1640	B27, L-ascorbic acid, albumin	CHIR99021	0-2	IWR	4-5	10	No glucose with lactate	10-12	Flow cytometry for cTnT+	95	RPMI-1640, B27, lipid-enhanced Cellastium S, L-ascorbic acid	Fibronectin							Yes	Yes		Nanotopography									Yes	TEM					TFM				Genetically encoded sensor	1.1	25.0				Patch clamp		170	-65.0		Seahorse	Yes	RNA-seq, PCR	lidocaine, dofetilide, nifedipine, caffiene	
	Ahrens, J. H. et al. Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks. Advanced Materials 34, (2022).	2022.0	 Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks	 Advanced Materials 34, (2022)	https://doi.org/10.1002/adma.202200217		BJFF	1			Matrigel	mTeSR-1	EB	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	7	No glucose with lactate	9-11	Flow cytometry for cTnT+	73	High-glucose DMEM, FBS					Yes	Yes						Collagen + fibrin + gelatin	CM + SC	hDF		90, 0, 10	High glucose DMEM, FBS, 	150.0	20	Yes		Yes				Post deflection	0.3	0.07		Dye					4.3								Nanostring	isoproterenol	
	Almeida, H. V. et al. Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation. ACS Appl Bio Mater 4, 1888–1899 (2021).	2021.0	 Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation	 ACS Appl Bio Mater 4, 1888–1899 (2021)	https://doi.org/10.1021/acsabm.0c01490		DF19-9-11T.H	1	Male		Matrigel	mTeSR-1	85	RPMI-1640	B27	CHIR99021, Activin A	0-1	IWR1	1-6	8			Flow cytometry for SIRPA+; Flow cytometry for cTnT+; Flow cytometry for VCAM-1+	80											Yes	ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0	RPMI-1640, B27		0.02	Yes	SEM, TEM	Yes	1.75			Motion tracking analysis				Dye	2.0	48.0	400										PCR	norepinephine	
	Alvarez-Paino, M. et al. Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function. ACS Appl Mater Interfaces 11, 34560–34574 (2019).	2019.0	 Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function	 ACS Appl Mater Interfaces 11, 34560–34574 (2019)	https://doi.org/10.1021/acsami.9b04769		REB	1			Matrigel 	E8		RPMI-1640	B27	Activin A, BMP4	0-2	KY02111, XAV939	2-6	6																CM-aggregates seeded on PLA-based microparticles		CM			100, 0, 0	RPMI-1640, B27		2							Motion tracking analysis																			
	Amano, Y. et al. Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays. Acta Biomater 33, 110–121 (2016).	2016.0	 Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays	 Acta Biomater 33, 110–121 (2016)	https://doi.org/10.1016/j.actbio.2016.01.033		253G1	1			EBs	mTeSR-1	EB	StemPro-34	L-ascorbic acid, L-glutamine, 1-thioglycerol	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	53		Fibronectin, Gelatin					Yes						Gelatin 	CM + EC + SC	hCF	CMVEC	65, 10, 25	DMEM	5.0		Yes						Motion tracking analysis			70															doxorubicin	
	Aoyama, J. et al. Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells. Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020).	2020.0	 Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells	 Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020)	https://doi.org/10.1016/j.jtcvs.2019.06.060		454E2	1			Matrigel	E8	EB	StemPro-34	L-ascorbic acid, L-glutamine, 1-thioglycerol	Activin A, BMP4, bFGF	0-3	IWR1	3-5							Matrigel										ECM-coated plastic/glass									Yes						Motion tracking analysis				Dye													PCR		
