2D Surface - Hydrogel (14)	2D Surface - Electrospun (13)	2D Surface - MEA (9)	2D Surface - Nanotopography (6)	2D Surface - Decellularized ECM (3)	2D Surface - Microfluidic (1)	2D Surface - Microparticles (1)	3D Platform Type - Fibrin (50)	3D Platform Type - Scaffold Free (43)	3D Platform Type - Collagen (37)
False	False	False	False	False	False	False	False	False	False
True	False	False	False	False	False	False	False	False	False
True	False	False	False	False	False	False	False	False	False
False	False	False	False	False	False	False	False	False	False
True	False	False	False	False	False	False	False	False	False
True	False	False	False	False	False	False	False	False	True
False	False	False	False	False	False	False	False	False	False
True	False	False	False	False	False	False	False	False	False
False	False	False	False	False	False	False	False	False	False
False	False	False	False	False	False	False	False	False	False
