Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)
				Fibronectin-coated plastic/glass					
				Matrigel-coated plastic, poly-D-lysine or poly-Dlysine plus cardiac-matrix coated glass					
				Matrigel-coated or  Synthemax-coated plastic					
									
				Matrigel-coated plastic, PEI-gelatin coated plastic					
				Matrigel-coated plastic	Collagen, Collagen+C4S, Collagen+elastin				
									
				 Matrigel-coated plastic					
									
									
									
									
									
									
				ECM-coated plastic/glass					
					Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass	Fibrin	CM			100, 0, 0
	Yes	Yes		Micropatterned gelatin					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass	Collagen + fibrin	CM + EC + SC	hCF	HUVEC	75, 10, 15
		Yes			Scaffold free	CM + SC	hiPSC-SC		80, 0, 20
	Yes			Micropatterned plastic/glass					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Collagen + matrigel	CM + SC	hiPSC-SC		70, 0, 30
		Yes		Thick matrigel					
				Micropatterned plastic/glass					
				ECM-coated plastic/glass					
	Yes		Yes		Decellularized tissue	CM			100, 0, 0
					Scaffold free	CM			100, 0, 0
	Yes	Yes		Micropatterned PDMS					
		Yes		ECM-coated plastic/glass; micropost array					
				ECM-coated plastic/glass					
					Collagen + matrigel	CM + SC	hLF		75, 0, 25
Flow					Scaffold free	CM + EC + SC	vascular mural cell	vascular endothelial cell	37, 15, 20
				ECM-coated plastic/glass	GelMA, PEG, PEG/GelMA	CM			
	Yes	Yes		Nanotopography					
					Collagen + fibrin + gelatin	CM + SC	hDF		90, 0, 10
			Yes	ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0
				CM-aggregates seeded on PLA-based microparticles		CM			100, 0, 0
					Gelatin 	CM + EC + SC	hCF	CMVEC	65, 10, 25
				ECM-coated plastic/glass					
					Scaffold free, 3D bioprinted to assemble cardiac spheroids	CM + EC + SC	hDF	HUVEC	50, 25, 25
				ECM-coated plastic/glass	Scaffold free	CM + EC + SC	hCF	CMVEC	57, 14, 29
					Scaffold free	CM + SC	heCF		80, 0, 20
					Scaffold free	CM			100, 0, 0
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
			Yes		Decellularized tissue	CM			100, 0, 0
Yes					Collagen + matrigel	CM + SC	hCF		90, 0, 10
				MEA					
				ECM-coated plastic/glass					
			Yes	ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Collagen	CM + SC	hFF		70, 0, 30
				ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0
				ECM-coated plastic/glass					
				Micropatterned PAA	Fibrin + matrigel	CM			100, 0, 0
				ECM-coated plastic/glass					
		Yes		Nanotopography					
	Yes			Nanotopography					
