AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
			Gene expression	PCR, RNA-seq	
				PCR	Thyroid hormone (T3)
					
125					
			Mitochondria staining, mitochondrial respiratory complex activity		
			Clark-type oxygen electrode, MitoTracker staining	PCR	
			Seahorse, metabolic assays	PCR, ATAC-Seq	AICAR, compound C, nicotinamide (NAM), trichostatin A (TSA)
			Gene expression	PCR	
			Seahorse		Hormone stimulation, T3
			Seahorse	RNA-seq, PCR	 T3 hormone, GW7647 
					
					
					
					
122	-67.0		Seahorse	RNA-seq, PCR	
			Seahorse; metabolic flux	RNA-seq, PCR	
100	-70.0			Proteomics	caffeine
			Seahorse	Microarray	
110	-80.0		Seahorse	RNA-seq, PCR	isoproterenol, tetrodotoxin
			Seahorse	PCR	isoproterenol
			Seahorse	PCR	
114	-74.0		Seahorse	PCR	
		4.0		PCR	isoproterenol
			Seahorse	PCR	verapamil, flecainide, alfuzosin, isoproterenol
			Metabolomics	RNA-seq	phenylephrine
97	-85.0			PCR	isoproterenol
95	-85.0			PCR	isoproterenol, caffeine
102	-59.0		Metabolomics, Seahorse	RNA-seq, PCR	
					caffeine (for calcium content & SR)
				RNA-seq, PCR	
			Seahorse		
					isoproterenol
					
121	-81.0			RNA-seq	isoproterenol, verapamil, mavacamten
91	-59.0		Seahorse	RNA-seq, PCR	
					
				PCR	
					isoproterenol
				PCR	isoproterenol
170	-65.0		Seahorse	RNA-seq, PCR	lidocaine, dofetilide, nifedipine, caffiene
				Nanostring	isoproterenol
				PCR	norepinephine
					
					doxorubicin
				PCR	
					
					sunitinib, doxorubicin
66	-41.0			PCR	
					phenylephrine, isoproterenol, blebbistatin, doxorubicin
			Seahorse	PCR	propranolol, epinephrine, atenolol, dobutamine
				PCR	dantrolene, ranolazine
				PCR	isoproterenol, BaCl2, E4031, chromanol 293B, nifedipine, bay-k 8644, cromakalim
	-60.0			PCR	
				PCR	dofetilide, quinidine, moxifloxacin, ranolazine, verapamil, quinine, propafenone, chloroquine, terfenadine, cisapride, amiodarone, azithromycin, ritonavir, amitriptyline, nilotinib, toremifene, lidocaine, mexiletine, mibefradil, diltiazem, licarbazepine, cibenzoline, sertindole
